"asm_script","status","partial_reason","c_owner","evidence","matched_map_symbols","maps_referenced","warps","npcs","signs","items","trainers","hidden_events","surface_score","keyness"
"VermilionGym.asm","mapped","dedicated script module with explicit asm reference","event_data.c; vermilion_gym_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","kNpcs_VermilionGym","1","2","5","0","0","0","15","37","high"
"Route24.asm","mapped","dedicated script module with explicit asm reference","event_data.c; route24_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","kNpcs_Route24","1","0","7","0","1","6","0","27","high"
"OaksLab.asm","mapped","dedicated script module with explicit asm reference","event_data.c; oakslab_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","kNpcs_OaksLab","1","2","11","0","0","0","0","13","medium"
"BillsHouse.asm","mapped","dedicated script module with explicit asm reference","bills_house_scripts.c; event_data.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","kNpcs_BillsHouse","1","2","3","0","0","0","1","7","low"
"Route2Gate.asm","mapped","dedicated script module with explicit asm reference","event_data.c; route2gate_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","kNpcs_Route2Gate","1","4","2","0","0","0","0","6","low"
"ViridianMart.asm","mapped","dedicated script module with explicit asm reference","event_data.c; viridian_mart_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","kNpcs_ViridianMart","1","2","3","0","0","0","0","5","low"
"Route22.asm","mapped","dedicated script module with explicit asm reference","event_data.c; route22_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","kNpcs_Route22","1","1","2","1","0","0","0","4","low"
"CeladonMansion2F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"CeladonMansionRoof.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"CeladonMartElevator.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"CeruleanCave1F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"CeruleanCave2F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"CeruleanCity_2.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"MtMoonB1F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"RedsHouse2F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"RocketHideoutElevator.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"Route2.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"Route5.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"Route7.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"SafariZoneCenter.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"SafariZoneEast.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"SafariZoneNorth.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"SafariZoneWest.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"SilphCoElevator.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"UndergroundPathNorthSouth.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"UndergroundPathWestEast.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","","0","0","0","0","0","0","0","0","unknown"
"SilphCo2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo2F","7","49","35","0","0","0","0","84","high"
"SaffronCity.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SaffronCity","2","16","30","20","0","0","0","66","high"
"SSAnne2F.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; ss_anne_scripts.c","event_map_symbol_exact; event_map_symbol_prefix; explicit_scripts_ref","kNpcs_SSAnne2F; kNpcs_SSAnne2FRooms","2","21","13","0","2","4","0","50","high"
"LancesRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_LancesRoom","12","36","12","0","0","0","0","48","high"
"MtMoon1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_MtMoon1F","1","5","7","1","6","7","0","46","high"
"SSAnne1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","kNpcs_SSAnne1F; kNpcs_SSAnne1FRooms","2","17","12","0","1","4","0","43","high"
"SSAnneB1F.asm","partial","mapped only via strict split/variant symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","kNpcs_SSAnneB1FRooms","1","10","8","0","3","6","0","42","high"
"SSAnneB1FRooms.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SSAnneB1FRooms","1","10","8","0","3","6","0","42","high"
"SaffronGym.asm","partial","major dynamic script gaps vs asm: Sabrina battle->postbattle state machine missing, TM46(PSYWAVE) give-flow + bag-full branch missing, trainer beat-flag dispatch not mapped, gym guide post-beat branch missing","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_SaffronGym","1","32","9","0","0","0","0","41","high"
"Route25.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route25","1","1","9","1","1","9","0","40","high"
"SSAnne2FRooms.asm","partial","mostly mapped in data+trainer wiring; remaining gap: Gentleman3 text misses asm side effect DisplayPokedex(SNORLAX)","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_SSAnne2FRooms","1","12","11","0","2","4","0","39","high"
"Route3.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route3","1","0","9","1","0","8","0","34","high"
"FuchsiaCity.asm","partial","concrete behavior gaps vs asm: multiple zoo signs should call DisplayPokedex (CHANSEY/VOLTORB/KANGASKHAN/SLOWPOKE/LAPRAS), and fossil sign should branch on EVENT_GOT_DOME_FOSSIL/EVENT_GOT_HELIX_FOSSIL with species-specific DisplayPokedex","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_FuchsiaCity","1","9","9","14","0","0","0","32","high"
"ViridianForest.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_ViridianForest","1","6","5","6","3","3","0","32","high"
"CeladonCity.asm","partial","concrete behavior gaps vs asm: Gramps3 TM41(SOFTBOILED) give-flow missing, Poliwrath cry callback missing, and CeladonCity_Script event resets (EVENT_1B8..EVENT_1BF, EVENT_67F) not mapped","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_CeladonCity","1","13","9","9","0","0","0","31","high"
"MtMoonB2F.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; mtmoon_scripts.c","event_map_symbol_exact; explicit_scripts_ref","kNpcs_MtMoonB2F","1","4","7","0","2","5","0","30","high"
"PowerPlant.asm","partial","high-impact gaps vs asm: no explicit trainer-header script flow mapping for 8 Voltorb/Electrode encounters or Zapdos battle state, and Zapdos text cry behavior not wired","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_PowerPlant","1","3","1","0","13","0","0","30","high"
"SSAnne1FRooms.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SSAnne1FRooms","1","6","10","0","1","4","0","30","high"
"Route6.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route6","1","4","6","1","0","6","0","29","high"
"CeruleanCity.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","cerulean_scripts.c; event_data.c","event_map_symbol_exact; explicit_scripts_ref","kNpcs_CeruleanCity","1","10","11","6","0","0","0","27","high"
"VictoryRoad2F.asm","partial","major gaps vs asm: boulder-switch tile mutation script flow not mapped, trainer-header/event battle flow for 5 trainers not explicit, and Moltres event+cry encounter flow not wired","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_VictoryRoad2F","1","7","9","0","4","0","0","24","high"
"Route16Gate1F.asm","partial","core gate script gaps vs asm: bicycle possession gate enforcement (coords + forced movement + staged guard text) not mapped; guard conditional text branch not wired","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_Route16Gate1F","2","18","4","0","0","0","0","22","high"
"VermilionCity.asm","partial","grouped port exists (dock ticket step gate in ss_anne_scripts), but remaining asm interaction gaps: Machop cry+followup text not callback-wired, and Sailor1/Gambler1 conditional text branches are static in npc table","event_data.c; ss_anne_scripts.c","event_map_symbol_exact; explicit_scripts_ref; asm_manual_audit_2026_05_05","kNpcs_VermilionCity","1","9","6","7","0","0","0","22","high"
"SilphCo5F.asm","partial","major gaps vs asm: card-key door callback/tile mutation flow not mapped, trainer-header/event flow for 4 trainers not wired, and worker progression-conditional text branch not implemented","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_SilphCo5F","1","7","8","0","3","0","0","21","high"
"CeladonMart3F.asm","partial","key gap vs asm: clerk TM18(TM_COUNTER) reward flow missing (EVENT_GOT_TM18 gate, give-item success/bag-full branches, explanation text state)","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_CeladonMart3F","1","3","5","12","0","0","0","20","high"
"PewterCity.asm","partial","east-exit youngster escort is ported in grouped gate module, but PewterCity script-state machine parity is incomplete: museum-guide scripted escort/hide-reset flow not evidenced, Super Nerd 2 yes/no branch not wired, and default-script museum-ticket reset side effects not evidenced","event_data.c; gate_scripts.c","event_map_symbol_exact; explicit_scripts_ref; asm_manual_audit_2026_05_05","kNpcs_PewterCity","1","7","5","7","0","0","0","19","medium"
"SilphCo7F.asm","partial","major gaps vs asm: card-key door callback/tile mutation flow missing, Rival 7F scripted encounter sequence not mapped, Lapras gift + worker progression branches not wired, and trainer-header event flow for 4 trainers not explicit","event_data.c","event_map_symbol_exact + asm_manual_audit_2026_05_05","kNpcs_SilphCo7F","1","6","9","0","2","0","0","19","medium"
"Route12.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route12","1","4","8","2","2","0","0","18","medium"
"Route16.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route16","1","9","7","2","0","0","0","18","medium"
"ViridianCity.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; gate_scripts.c","event_map_symbol_exact; explicit_scripts_ref","kNpcs_ViridianCity","1","5","7","6","0","0","0","18","medium"
"RocketHideoutB4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RocketHideoutB4F","1","3","4","0","5","0","0","17","medium"
"Route15.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route15","1","4","10","1","1","0","0","17","medium"
"SilphCo4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo4F","1","7","4","0","3","0","0","17","medium"
"SilphCo6F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo6F","1","5","8","0","2","0","0","17","medium"
"RockTunnel1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RockTunnel1F","1","8","7","1","0","0","0","16","medium"
"Route11.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route11","1","5","10","1","0","0","0","16","medium"
"Route17.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route17","1","0","10","6","0","0","0","16","medium"
"VictoryRoad3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_VictoryRoad3F","1","4","8","0","2","0","0","16","medium"
"GameCorner.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_GameCorner","1","3","11","1","0","0","0","15","medium"
"LavenderTown.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_LavenderTown","1","6","3","6","0","0","0","15","medium"
"Route8.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route8","1","5","9","1","0","0","0","15","medium"
"SilphCo10F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo10F","1","6","3","0","3","0","0","15","medium"
"SilphCo3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo3F","1","10","3","0","1","0","0","15","medium"
"PalletTown.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; pallet_scripts.c","event_map_symbol_exact; explicit_scripts_ref","kNpcs_PalletTown","1","3","4","4","0","1","0","14","high"
"PokemonMansionB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonMansionB1F","1","1","3","0","5","0","0","14","medium"
"RocketHideoutB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RocketHideoutB1F","1","5","5","0","2","0","0","14","medium"
"RocketHideoutB2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RocketHideoutB2F","1","5","1","0","4","0","0","14","medium"
"Route10.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route10","1","4","6","4","0","0","0","14","medium"
"Route20.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route20","1","2","10","2","0","0","0","14","medium"
"ViridianGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_ViridianGym","1","2","10","0","1","0","0","14","medium"
"PokemonMansion1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonMansion1F","1","8","1","0","2","0","0","13","medium"
"Route13.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route13","1","0","10","3","0","0","0","13","medium"
"SeafoamIslandsB3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SeafoamIslandsB3F","1","7","6","0","0","0","0","13","medium"
"SSAnneBow.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SSAnneBow","1","2","5","0","0","2","0","13","high"
"CeladonMansion3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonMansion3F","1","4","4","4","0","0","0","12","medium"
"CeruleanGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeruleanGym","1","2","4","0","0","2","0","12","high"
"CeruleanTrashedHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeruleanTrashedHouse","2","6","4","2","0","0","0","12","medium"
"CinnabarIsland.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CinnabarIsland","1","5","2","5","0","0","0","12","medium"
"RockTunnelB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RockTunnelB1F","1","4","8","0","0","0","0","12","medium"
"Route23.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route23","1","4","7","1","0","0","0","12","medium"
"Route9.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route9","1","0","9","1","1","0","0","12","medium"
"VictoryRoad1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_VictoryRoad1F","1","3","5","0","2","0","0","12","medium"
"CinnabarGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CinnabarGym","1","2","9","0","0","0","0","11","medium"
"PokemonTower4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonTower4F","1","2","3","0","3","0","0","11","medium"
"Route14.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route14","1","0","10","1","0","0","0","11","medium"
"Route19.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route19","1","0","10","1","0","0","0","11","medium"
"SilphCo8F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo8F","1","7","4","0","0","0","0","11","medium"
"CeladonGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonGym","1","2","8","0","0","0","0","10","medium"
"CeladonMansion1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonMansion1F","1","5","4","1","0","0","0","10","medium"
"CinnabarLab.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CinnabarLab","1","5","1","4","0","0","0","10","medium"
"CinnabarMart.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CinnabarMart","2","4","6","0","0","0","0","10","medium"
"FuchsiaGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_FuchsiaGym","1","2","8","0","0","0","0","10","medium"
"IndigoPlateau.asm","partial","mapped only via strict split/variant symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","kNpcs_IndigoPlateauLobby","1","3","5","0","0","0","1","10","medium"
"IndigoPlateauLobby.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_IndigoPlateauLobby","1","3","5","0","0","0","1","10","medium"
"MtMoonPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_MtMoonPokecenter","1","2","6","0","0","0","1","10","medium"
"Museum1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Museum1F","1","5","5","0","0","0","0","10","medium"
"PokemonFanClub.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonFanClub","1","2","6","2","0","0","0","10","medium"
"PokemonMansion3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonMansion3F","1","3","3","0","2","0","0","10","medium"
"Route4.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route4","1","3","2","3","1","0","0","10","medium"
"CeladonMart1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonMart1F","1","6","1","2","0","0","0","9","medium"
"PokemonMansion2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonMansion2F","1","4","3","0","1","0","0","9","medium"
"PokemonTower5F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonTower5F","1","2","5","0","1","0","0","9","medium"
"PokemonTower6F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonTower6F","1","2","3","0","2","0","0","9","medium"
"Route18.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route18","1","4","3","2","0","0","0","9","medium"
